plotnumber,tree,species,dbh,height 
1,1,Rm,3.1,4.867656
1,2,Rm,2.5,4.401312
1,3,Rm,3.3,3.44424
1,4,Rm,3.2,3.389376
1,5,Rm,2.6,1.865376
1,6,Rm,7.3,4.84632
1,7,Rm,2.9,6.833616
1,8,Rm,3.2,2.737104
1,9,Rm,6.7,2.831592
1,10,Rm,5.1,1.4
1,11,Rm,5,2.520696
1,12,Rm,4.2,5.22732
1,13,Rm,5.4,3.523488
1,14,Rm,3.2,3.956304
1,15,Rm,22.8,10.69848
1,16,Rm,6.4,5.22732
1,17,Rm,2.7,3.136392
1,18,Rm,4.3,3.105912
1,19,Rm,3.7,2.380488
1,20,Rm,4,4.23672
1,21,Rm,5.1,4.86156
1,22,Rm,2.9,3.18516
1,23,Rm,4.4,2.535936
1,24,Rm,3.2,5.4102
1,25,Rm,6.9,7.400544
1,26,Rm,3.1,6.900672
1,27,Rm,3.6,6.373368
1,28,Rm,2.8,3.71856
1,29,Rm,3.2,5.123688
1,30,Rm,2.5,4.056888
1,31,Rm,8.5,8.54964
1,32,Rm,2.5,2.932176
1,33,Rm,3.1,6.440424
1,34,Rm,14.9,8.2296
1,35,Rm,3.9,3.791712
1,36,Ag,6.7,5.903976
1,37,Ag,2.8,3.343656
1,38,Rm,3.4,6.044184
1,39,Lr,6.6,8.2296
1,40,Ag,12.1,7.65048
1,41,Ag,23.76,9.144
1,42,Lr,7,4.736592
1,43,Lr,9,6.352032
1,44,Ag,4.5,4.273296
1,45,Lr,7.1,3.7338
1,46,Rm,4,3.79476
1,47,Lr,4.5,4.453128
1,48,Rm,2.7,5.21208
1,49,Lr,2.7,2.548128
2,1,Rm,4.3,6.29412
2,2,Rm,2.7,4.136136
2,3,Lr,7.5,7.9248
2,4,Rm,4.3,7.327392
2,5,Lr,6.4,7.7724
2,6,Rm,4.5,6.833616
2,7,Ag,10.8,11.3538
2,8,Rm,2.8,6.90372
2,9,Rm,2.5,4.96824
2,10,Ag,8,8.5344
2,11,Lr,2.6,5.611368
2,12,Lr,3,4.2672
2,13,Rm,3.3,5.6388
2,14,Rm,3.9,5.931408
2,15,Lr,4.2,5.535168
2,16,Lr,3.3,4.75488
2,17,Rm,6.1,7.25424
2,18,Rm,7.8,9.2964
2,19,Rm,6.7,8.8392
2,20,Rm,7.3,8.8392
2,21,Rm,4.8,6.708648
2,22,Lr,2.7,4.715256
2,23,Lr,3.2,4.913376
2,24,Rm,3.7,5.702808
2,25,Rm,4,5.705856
2,26,Lr,3.4,4.974336
2,27,Lr,9.7,8.5344
2,28,Lr,9.7,8.86968
2,29,Lr,8.5,7.9248
2,30,Lr,12.7,7.97052
2,31,Ag,9.1,8.2296
2,32,Lr,7.5,4.584192
2,33,Lr,7.7,6.37032
2,34,Lr,9.1,4.645152
2,35,Rm,3,5.224272
2,36,Ag,3.9,5.8674
